Data;Preço
14/03/2023;76,77
13/03/2023;79,67
10/03/2023;82,3
09/03/2023;81
08/03/2023;82,1
07/03/2023;83,03
06/03/2023;85,86
03/03/2023;85,74
02/03/2023;84,15
01/03/2023;83,68
28/02/2023;83,21
27/02/2023;81,24
24/02/2023;82,31
23/02/2023;82,08
22/02/2023;79,55
21/02/2023;82,14
20/02/2023;82,79
17/02/2023;81,97
16/02/2023;83,84
15/02/2023;84,11
14/02/2023;84,96
13/02/2023;85,98
10/02/2023;85,46
09/02/2023;83,46
08/02/2023;84,17
07/02/2023;82,92
06/02/2023;80,48
03/02/2023;78,85
02/02/2023;80,57
01/02/2023;81,61
